show_id,type,title,duration
80084838,Movie,Jatts in Golmaal,128 min
70308105,TV Show,Grand Hotel,3 Seasons
80011622,Movie,Cut Bank,93 min
81000509,TV Show,On Children,1 Season
81172901,Movie,The Island,93 min
80160504,TV Show,La Doña,1 Season
80228282,Movie,Urvi,121 min
80177834,Movie,The Guardian Brothers,86 min
70212504,Movie,Big Miracle,107 min
80198632,Movie,Mission of Honor,107 min
80187471,Movie,Power Paandi,124 min
80127001,TV Show,Resurrection: Ertugrul,5 Seasons
81021098,Movie,Just Love,96 min
70125931,Movie,The Karate Kid,140 min
80228146,Movie,Jora 10 Numbaria,135 min
80118092,TV Show,Mossad 101,2 Seasons
80142316,Movie,Casting JonBenet,81 min
81035880,Movie,Hamza's Suitcase,79 min
80107987,Movie,Hitler's Olympics,44 min
70308278,Movie,Mission Blue,94 min
80084666,Movie,Colours of Passion,114 min
70298341,TV Show,Africa,1 Season
70002291,Movie,Chameli,102 min
80148927,TV Show,The Sniffer,3 Seasons
80109038,TV Show,You're My Destiny,1 Season
81154900,TV Show,Transformers Rescue Bots Academy,1 Season
80038420,Movie,Advantageous,92 min
80227516,TV Show,Chosen,2 Seasons
70302572,TV Show,Puella Magi Madoka Magica,1 Season
80082660,Movie,The Apostate,80 min
80164206,Movie,Cave,77 min
80063867,TV Show,The Family,1 Season
80222770,TV Show,Cricket Fever: Mumbai Indians,1 Season
80244601,TV Show,Castle of Stars,1 Season
80185876,Movie,Trolls Holiday Special,27 min
81020513,TV Show,Criminal: France,1 Season
80046348,TV Show,Care Bears & Cousins,2 Seasons
80204119,Movie,Baahubali: The Beginning (Malayalam Version),160 min
80235853,Movie,Pocoyo Carnival,22 min
70184127,TV Show,Big Bad Beetleborgs,2 Seasons
80141338,Movie,Sarajevo,98 min
81011955,Movie,Paradise Lost,111 min
81021976,Movie,The Spooky Tale of Captain Underpants Hack-a-ween,46 min
80180171,TV Show,Kingdom,1 Season
70184128,TV Show,Mighty Morphin Power Rangers,4 Seasons
81121171,Movie,NOVA: Bird Brain,53 min
80185048,TV Show,Terrorism Close Calls,1 Season
80134149,Movie,A Kind of Murder,96 min
81081067,TV Show,Charité at War,1 Season
80233962,Movie,Toc Toc,96 min
70213073,TV Show,Power Rangers Wild Force,1 Season
80156769,Movie,"Twisted Trunk, Big Fat Body",89 min
80189619,TV Show,A Taiwanese Tale of Two Cities,1 Season
81137484,Movie,Elena,81 min
70250398,TV Show,Vexed,2 Seasons
81155859,Movie,Kaake Da Viyah,133 min
70243446,Movie,Silent Hill: Revelation,94 min
80172593,TV Show,9 Months That Made You,1 Season
80133552,Movie,Vir Das: Abroad Understanding,66 min
80044536,Movie,Diary of a Chambermaid,96 min
80221943,TV Show,Ainsley Eats the Streets,1 Season
81031262,TV Show,Man Like Mobeen,2 Seasons
80047031,TV Show,Sin senos no hay paraíso,1 Season
80186863,TV Show,The Umbrella Academy,1 Season
80065930,Movie,Barbie in Rock 'N Royals,83 min
70300066,TV Show,Bitten,3 Seasons
81048548,Movie,Komola Rocket,95 min
80123567,TV Show,Burned Cocoon,1 Season
60037022,Movie,Trainspotting,94 min
81043541,Movie,Dabbe: The Possession,135 min
80119177,Movie,Day of the Dead: Bloodline,91 min
81004162,TV Show,The Road to Calvary,1 Season
81065902,Movie,St. Agatha,103 min
80201822,Movie,Veerappan,117 min
81039323,Movie,Sicilian Ghost Story,119 min
80046249,TV Show,Flaked,2 Seasons
80190086,TV Show,The Hook Up Plan,2 Seasons
80993739,TV Show,Sotus The Series,1 Season
80191930,Movie,Forbidden Games: The Justin Fashanu Story,81 min
80117554,TV Show,She's Gotta Have It,2 Seasons
80105067,Movie,Middle School: The Worst Years of My Life,92 min
80178726,TV Show,Dope,3 Seasons
